States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
West Bengal,29.71,18.5,24,71.57,83.14,87,81.43,70.57,44,40,126.33,99.43,79.14,85.43,92.57,69.71,43.29,184.29,11.43,9.86,45.43,40.29,4/1/2018
Average Price,30.59,24.31,26.54,75,73.35,75.48,73.97,61.88,41.63,42.41,126.79,108.04,78.37,87.27,93.3,72.32,45.51,205.87,14.79,14.96,42.7,23.25,5/1/2018
Maximum Price,53,46,48,132,132,130,140,105,55,65,170,165,115,106,126,88,66,360,22,40,70,60,5/1/2018
Minimum Price,20,16,20,56,54,50,55,45,36,28,88,80,62,70,78,62,30,120,8,6,20,8,5/1/2018
Modal Price,25,18,24,70,70,70,80,52,42,40,115,100,70,85,85,70,40,220,17,10,40,20,5/1/2018
Andhra Pradesh,30,27.5,29.5,77.25,67,75.75,75,57.5,41.25,41.75,105.75,116.75,68.25,87,84.75,67.5,45.75,212,13.5,15.75,39,9.5,5/1/2018
Assam,30,26,29,65,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,12,48,55,5/1/2018
Bihar,29.33,18,21.67,71.67,69,75.67,69.33,55,41.33,40,0,93.33,73,89,96.5,72,36,194.33,14,10.33,44,21.67,5/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,42,26,5/1/2018
Chhattisgarh,24.8,26.2,27.2,74.8,69.4,62,72.6,56,41,41.8,124.8,102.2,70.2,89.2,93.6,79,43.6,183.8,11.6,11,44.6,12,5/1/2018
Delhi,34,19,22,81,82,85,84,74,40,42,164,120,88,102,109,78,53,231,17,15,50,27,5/1/2018
Goa,42,30,28,90,70,110,90,70,40,50,170,159,115,100,115,79,60,240,17,25,47,25,5/1/2018
Gujarat,23.75,20.75,24,70,71.75,68.75,66.75,56,40,50.5,102.75,88.5,73.25,80,81.5,69,50.5,213.75,14.75,12,35.5,28.75,5/1/2018
Haryana,31,21,25.25,69,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,230,18.5,13.25,42.75,30.75,5/1/2018
Himachal Pradesh,30.5,0,23.5,64.67,70.75,63.33,69.33,60,41.75,34.25,120,126,86.67,87.33,90,75.5,38.67,182.5,17.5,9.5,46.25,25,5/1/2018
Jharkhand,34,24,25,75,70,70,75,55,42,42,145,107,75,104,104,76,38,260,18,13,40,20,5/1/2018
Karnataka,46,31.75,35.5,96.75,81,95.25,77.75,78,40,36,143.25,130.25,82.25,84.25,84,70.25,53.75,239.5,11.25,19.25,41,12.5,5/1/2018
Kerala,40.67,35.33,37.5,80.83,73.67,80.17,75.67,62.2,42,43,128,143.8,92,93,89.83,72.83,57.33,177.83,10.67,26.83,49.67,21.17,5/1/2018
