States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Mizoram,30,0,25,0,80,0,140,100,55,70,0,109,0,93,98,0,0,360,22,35,40,65,27/07/2018
Nagaland,25,45,35,75,75,60,80,65,42,60,0,0,0,0,0,0,40,200,15,25,25,30,27/07/2018
Odisha,27.75,0,25.5,63,63.75,56.25,68,53,39.75,34,0,103.75,75,97,97.75,86.5,41.75,190,17.5,17.5,23,32.5,27/07/2018
Puducherry,32,35,28,65,75,80,80,60,39,36,122,132,103,0,97,81,50,250,18,30,22,20,27/07/2018
Punjab,29.33,19.67,21.67,62.67,72.33,66.33,69.67,66,34,44.67,132.67,97.67,82,88,108,0,37.67,209.33,18,15.67,23,23.33,27/07/2018
Rajasthan,28,20,23,53,61,57,63.5,54,37,40.5,118,97.5,69.5,87,93,0,30.5,220,17,14.5,15,31.5,27/07/2018
Sikkim,57,25,29,65,84,90,83,70,43,47,0,123,80,107,115,0,53,300,18,31,32,45,27/07/2018
Tamil Nadu,34,31,31.5,63.2,72.2,76.2,76,62.33,38.6,36.4,136.6,123.67,95.4,0,100,83.4,50.6,220,17,29.2,24,20.2,27/07/2018
Telangana,28.33,27.67,29.33,75,70.67,76.5,71.17,69.5,38.67,39.83,105.67,95.5,72.33,82.67,89.33,69,38.33,186.33,13.17,20.5,15.67,29.83,27/07/2018
Tripura,31,0,29,58,0,73,81,67,46,40,0,107,70,99,0,0,53,178,19,25,29,39,27/07/2018
Uttar Pradesh,25.75,19,22.38,60.38,68.13,59.25,70.25,55.38,38.75,48,128.86,102.13,79.63,90.88,108,80,37.75,195,17.75,19.88,21.5,34.88,27/07/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,20,25,25,27/07/2018
West Bengal,29,16.8,23.33,71.83,75.17,77.5,78.83,68.5,39.5,39.17,122.2,97.17,80.5,84.83,92.67,70,42,188.33,11.67,17.17,22.5,34.67,27/07/2018
Average Price,29.5,23.18,25.49,64.25,69.87,68.36,72.54,60.32,38.53,42.11,124.26,104.34,80.95,90.21,98.2,78.31,41.79,207.39,15.82,21.39,21.62,30.63,28/07/2018
Maximum Price,57,35,34,82,86,98,95,77,50,56,164,165,115,120,130,100,57,300,21,36,32,52,28/07/2018
Minimum Price,22,14,21,50,57,48,55,45,33,30,89,84,63,71,82,62,30,120,9,12,12,14,28/07/2018
Modal Price,30,20,22,70,70,70,70,60,40,42,115,95,76,85,96,76,39,200,18,20,20,30,28/07/2018
Andhra Pradesh,31.25,28,29.75,68,65.25,73.5,74,60,40.5,42,104.75,114,69.75,87,88.5,72.25,45.25,198.75,13.5,20.25,17.25,19.75,28/07/2018
Assam,30,26,30,62,70,65,75,60,40,56,0,90,75,90,100,0,45,200,12,22,28,40,28/07/2018
Bihar,33.67,21,26.33,57,67,66.67,71.67,52.33,40,40,0,104.33,89,101.33,111.33,84.67,36.67,180,16,20.33,21.67,36.67,28/07/2018
Chandigarh,28,23,25,55,64,57,73,50,36,44,128,100,76,87,88,0,33,220,16,20,24,26,28/07/2018
Chhattisgarh,25,24.75,25.5,65.5,72.25,65,75,57.5,38,40.5,114.75,98.75,72.75,90.5,97,85.33,42.5,203.75,11.75,20,19.5,27.5,28/07/2018
Delhi,34,23,25,77,83,83,90,75,39,42,164,121,95,102,109,91,55,235,18,29,30,52,28/07/2018
Goa,42,30,28,75,70,95,95,67,39,50,159,148,115,106,115,90,55,240,17,27,25,32,28/07/2018
Gujarat,23.5,21.25,22.75,59,66.5,54.5,65.25,54,36.5,51,98.5,87,73.75,83.75,84.75,76.75,44,208.75,14.75,20,19,28.75,28/07/2018
Haryana,31.75,19.5,23.75,59.5,76.25,70.5,70,57.5,36.75,44.25,151.5,99.75,89.5,98.25,102,81.5,40,210,18.5,21.75,23,37.5,28/07/2018
Himachal Pradesh,32,0,23.67,60,69.33,63.67,70.67,56.67,39,35.33,158,128.33,91.67,93.67,0,94,39.67,175,18.33,24,25.67,30,28/07/2018
Jammu and Kashmir,29,22,22,60,70,70,60,60,50,38,0,120,95,120,130,0,47,250,18,25,30,30,28/07/2018
Jharkhand,35,25,26,65,70,60,75,60,40,42,145,108,75,107,107,82,40,280,18,19,20,30,28/07/2018
Madhya Pradesh,26,19.83,22.67,58.33,65,57.83,63.33,53.67,37.33,44.83,117.33,89.5,69.8,84.5,88.83,70.67,39.83,218.33,15.33,21,17.5,35.83,28/07/2018
Maharashtra,35.5,27,30,65.25,65,71.5,77.25,57.25,38,39.75,119.75,126.75,82.75,84.5,94.25,75.75,44.25,235.25,16.5,25.75,22.25,31.25,28/07/2018
Odisha,27.75,0,25.5,63,63.75,56.25,68,53,39.75,34,0,103.75,75,97,97.75,86.5,41.75,190,17.5,17.25,23,32.5,28/07/2018
Puducherry,32,35,28,65,75,80,80,60,39,36,122,132,103,0,97,81,50,250,18,28,22,14,28/07/2018
Punjab,29.33,19.67,21.67,62.67,72.33,66.33,69.67,66,34,44.67,132.67,97.67,82,88,108,0,37.67,209.33,18,15.67,22.67,23,28/07/2018
Sikkim,57,25,29,65,84,90,83,70,43,47,0,123,80,107,115,0,53,300,18,31,32,45,28/07/2018
Tamil Nadu,34,31,31.5,63.2,72.2,76.2,76,62.33,38.6,36.4,136.6,123.67,95.4,0,100,83.4,50.6,220,17,29.8,23.8,20,28/07/2018
Telangana,28.33,27.67,29.33,75,70.67,76.5,73.33,69.5,38.67,39.83,105.67,95.5,72.33,82.67,89.33,69,38.33,186.33,13.17,20.5,15.67,29.83,28/07/2018
Uttar Pradesh,25.88,19.13,22.5,60.38,68.13,59.63,70.38,55.88,38.88,48,128.86,101.14,79.63,90.88,108,80,37.75,195,17.75,20.5,21.63,34.88,28/07/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,20,25,25,28/07/2018
West Bengal,29,16.8,23.33,71.83,75.17,77.5,78.83,68.5,39.5,39.17,122.2,97.17,80.5,84.83,92.67,70,42,188.33,11.67,17.17,22.5,34.67,28/07/2018
Average Price,29.57,23.85,26.15,65.38,70.4,70.26,73.19,61.66,38.25,40.87,124.5,103.82,80.71,88,96.5,77.28,42,207.63,15.45,21.3,21.62,29.28,29/07/2018
Maximum Price,52,35,34,82,83,98,90,77,44,56,164,165,105,107,125,100,57,260,21,32,30,52,29/07/2018
Minimum Price,22,14,21,50,57,50,56,45,34,32,89,84,63,71,82,62,30,120,9,12,14,10,29/07/2018
Modal Price,30,24,25,75,75,74.33,70,70,38,42,115,95,76,85,96,76,38,220,18,20,20,30,29/07/2018
Andhra Pradesh,31.25,28,29.75,68,65.25,73.5,74,60,40.5,42,104.75,114,69.75,87,88.5,72.25,45.25,198.75,13.5,20.25,17.25,19.75,29/07/2018
Assam,30,26,30,62,70,65,75,60,40,56,0,90,75,90,100,0,45,200,12,22,28,40,29/07/2018
Bihar,39,18,25,53,63,60,66,45,38,41,0,108,98,102,102,93,36,0,19,19,23,35,29/07/2018
Chandigarh,28,23,25,55,64,57,73,50,36,44,128,100,76,87,88,0,33,220,16,20,24,26,29/07/2018
Chhattisgarh,25,24.75,25.5,65.5,72.25,65,75,57.5,38,40.5,114.75,98.75,72.75,90.5,97,85.33,42.5,203.75,11.75,20,19.5,27.5,29/07/2018
Delhi,34,23,25,77,83,83,90,75,39,42,164,121,95,102,109,91,55,235,18,29,30,52,29/07/2018
Haryana,31.75,19.5,23.75,59.5,76.25,70.5,70,57.5,36.75,44.25,151.5,99.75,89.5,98.25,102,81.5,40,210,18.5,21.75,23,37.5,29/07/2018
Himachal Pradesh,30,0,24,58,69,63,71,54,39,37,0,119,84,87,0,0,36,0,18,22,27,30,29/07/2018
Madhya Pradesh,26.2,20,23,58.8,65.4,57.4,63,54.2,38.2,44.4,118.2,88.4,69.75,84,90,70.67,39.6,218,15.2,21.4,18.6,36,29/07/2018
Maharashtra,35.5,27,30,65.25,64.75,71.5,77.25,57.5,38,39.75,119.75,126.75,83,84.5,94.25,75.75,44.25,235.25,16.5,25.75,22.25,31.25,29/07/2018
Odisha,27.33,0,25.67,63.33,64.33,56.33,68.67,53,39.67,34,0,104.33,74.67,97,98.33,86,42.67,193.33,17.67,17,23.33,30,29/07/2018
Puducherry,32,35,28,65,75,80,80,60,39,36,122,132,103,0,97,81,50,250,18,30,22,10,29/07/2018
Punjab,29.33,19.67,21.67,62.67,72.33,66.33,69.67,66,34,44.67,132.67,97.67,82,88,108,0,37.67,208.33,18,15.67,22.67,23,29/07/2018
Tamil Nadu,34,31,31.5,63.2,72.2,76.2,76,62.33,38.6,36.4,136.6,123.67,95.4,0,100,83.4,50.6,220,17,29,24.2,20,29/07/2018
Telangana,28.2,27.8,29.4,74.8,70.6,76.4,72.8,69.6,38.6,39.8,105.6,94.67,72.4,82.67,89.4,69,38,187.6,13.4,20.6,15.4,29.6,29/07/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,20,25,25,29/07/2018
West Bengal,29,16.8,23.33,71.83,75.17,77.5,78.83,68.5,39.5,39.17,122.2,97.17,80.5,84.83,92.67,70,42,188.33,11.67,17.17,22.5,34.67,29/07/2018
Average Price,29.9,23.95,26.32,64.78,70.18,69.54,73.72,60.97,39.15,42.96,123.79,106.28,80.97,90.7,98.08,79.28,43.09,209.89,15.52,22.08,22.35,31.29,30/07/2018
Maximum Price,57,41,51,90,90,100,120,80,50,62,164,165,115,120,126,110,66,360,21,41,40,60,30/07/2018
Minimum Price,22,14,20,50,57,48,55,45,33,30,89,84,63,71,82,62,28,120,8,12,12,14,30/07/2018
Modal Price,30,20,23.5,70,70,70,70,60,40,40,115,97.5,75,85,102,80.5,40,200,18,20,20,30,30/07/2018
Andaman and Nicobar,33,35,51,71,74,82,80,67,49,57,0,0,0,0,0,0,64,208,12,35,30,50,30/07/2018
Andhra Pradesh,31.25,28.25,30,68.25,65.25,73.75,74.25,60.33,40.5,42,104.75,114,70,87,88.5,72.25,45.25,198.75,13.5,20.25,17.25,19.25,30/07/2018
Arunachal pradesh,28,25,30,90,90,100,90,75,45,60,0,131,98,98,98,0,60,360,15,20,20,25,30/07/2018
Assam,30,26,30,62,70,65,75,60,40,56,0,90,75,90,100,0,45,200,12,22,28,40,30/07/2018
Bihar,34.2,19.25,25.2,56,69.8,71.25,71.5,53,39.4,40.2,0,102.75,82,95.75,107.33,82,38.75,235.67,15.25,18.8,21.4,37.6,30/07/2018
Chandigarh,28,23,25,55,64,57,73,50,36,44,128,100,76,87,88,0,33,220,16,20,24,26,30/07/2018
Chhattisgarh,25.2,25.4,26,65.4,70.8,64,75,57,37.2,41.2,113.8,99,72.2,89.4,94.6,83.5,42,201,11.4,21,20,27,30/07/2018
Delhi,34,23,25,75,83,83,87,73,39,42,164,121,95,102,109,90,55,235,18,29,29,52,30/07/2018
Goa,42,31,27,75,70,90,95,67,41,50,159,148,115,106,120,87,55,240,17,35,22,27,30/07/2018
Gujarat,23.5,21.25,22.75,59,66.5,54.5,65.25,54,36,51,98.5,86.25,73.75,83.75,84.75,75.5,44.25,208.75,14.75,19.5,17.75,28.75,30/07/2018
Haryana,31.75,19.5,23.75,59.5,76.25,70.5,70,57.5,36.75,44.25,151.5,99.75,89.5,98.25,102,81.5,40,210,18.5,21.75,23,37.5,30/07/2018
Himachal Pradesh,30.5,0,23.75,58.75,70.75,64,70.5,57.5,40.25,36.5,139,126.25,90,92.75,100,87,39.75,183.33,18.25,24.25,25.5,32.5,30/07/2018
Jammu and Kashmir,32,20,24,65,75,76,72,62,43,45,0,122,98,115,121,110,42,240,19,20,25,25,30/07/2018
Jharkhand,35,26,26,65,70,60,75,60,40,42,145,108,75,107,107,82,40,280,18,18,24,40,30/07/2018
Kerala,35,34.5,32.75,72.5,72.5,79.5,79.25,63,39.75,43.5,123.33,142.25,93.25,93,94.25,77.25,53.25,172,11,33,26,25.75,30/07/2018
Madhya Pradesh,26,19.83,22.67,58.33,65,57.83,63.33,53.67,37.33,44.83,117.33,89.5,72.17,84.5,88.83,70.67,39.83,218.33,15.33,21,17.5,34.17,30/07/2018
Maharashtra,35.5,27,30,65.5,65,71.5,77.25,57.5,38,39.75,119.75,126.75,83,84.5,94.25,75.75,44.25,236.5,16.5,26,22.25,30.75,30/07/2018
Manipur,0,0,35,80,0,90,120,80,50,0,0,109,87,120,0,98,60,240,0,30,40,60,30/07/2018
Meghalaya,24,29,27,71,62,70,75,64,43.5,62,95,99,68.5,100,117.5,86.5,58,265,16,22.5,27.5,45,30/07/2018
Odisha,27.75,0,25.5,63,63.75,56.25,68,53,39.75,34,0,104,75,97,98.25,86,41.75,190,17.5,16.5,21.75,28.75,30/07/2018
Puducherry,32,35,28,65,75,80,80,60,39,36,122,132,103,0,97,81,50,250,18,28,20,14,30/07/2018
Punjab,29.33,19.33,21.33,63.33,73,66.33,70,66.67,35.33,44.67,132.67,97.33,82.33,88,108,0,37.67,205,18,15.67,22.67,24.67,30/07/2018
Rajasthan,28,20,23,53.5,61.5,57,63.5,54,37,40.5,118,97.5,69.5,87,93,0,30.5,220,17,15,14,33.5,30/07/2018
Sikkim,57,25,29,65,84,90,83,70,43,47,0,123,80,107,115,0,53,300,18,31,32,45,30/07/2018
Tamil Nadu,34.4,31,31.5,64,71.8,76.2,76,62.33,38.6,36.4,136.6,123.67,95.4,0,100.4,83.4,50.6,220,17,28.2,23.8,17.4,30/07/2018
Telangana,28.33,27.67,29.33,75,70.67,76.5,73.33,69.5,38.67,39.83,105.67,95.5,72.33,82.67,89.33,69,38.33,186.33,13.17,20.5,15.67,29.83,30/07/2018
Tripura,31,0,29,58,0,73,81,67,46,40,0,107,70,99,0,0,53,178,19,25,29,39,30/07/2018
Uttar Pradesh,25.63,19.13,22.5,60.63,68.13,59.38,70.38,56.25,39.25,48,128.71,102.75,79.63,90.88,108,81.5,38,195,17.75,20.63,22,34.88,30/07/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,24,30,30,30/07/2018
West Bengal,30.86,18.33,24.71,69.14,75,77.29,78.57,68.57,40.71,39.86,127.67,97.29,81.29,84.29,93.71,73,41.43,187.14,11.71,17.57,24.29,32.86,30/07/2018
Average Price,30.73,24.47,27.06,65.21,70.66,70.28,74.65,62.16,39.34,42.96,124.63,108.09,81.74,90.91,98.11,78.85,43.68,213.04,15.18,22.4,22.36,30.71,31/07/2018
Maximum Price,57,46,51,96,90,100,140,100,55,70,164,165,118,120,130,110,66,360,22,41,40,70,31/07/2018
Minimum Price,22,14,21,50,57,48,55,45,33,30,89,84,63,71,81,62,28,120,8,12,10,11,31/07/2018
Modal Price,30,20,22,75,70,70,70,60,40,40,140,100,70,85,102,80.5,40,200,18,20,20,30,31/07/2018
Andaman and Nicobar,33,35,51,71,74,82,80,67,49,57,0,130,118,0,105,93,64,208,12,35,30,50,31/07/2018
Andhra Pradesh,31.25,28.25,30.25,67.25,65.25,74,74.25,60.33,40.5,42,104.75,114,70,87,88.75,72.25,45.25,198.75,13.5,20.25,17.25,19.25,31/07/2018
Arunachal pradesh,28,25,30,90,90,100,90,75,45,60,0,131,98,98,98,0,60,360,15,20,20,25,31/07/2018
Assam,30,26,30,62,70,65,75,60,40,56,0,90,75,90,100,0,45,200,12,22,28,40,31/07/2018
Bihar,34.6,20.25,25.8,55.25,68.4,70.5,71.25,53,39.8,40,0,103.5,85,99.5,110.5,84.67,38.5,209,15.25,19.6,21.4,40,31/07/2018
Chandigarh,28,23,25,55,64,57,73,50,36,44,128,100,76,87,88,0,33,220,16,20,24,26,31/07/2018
Chhattisgarh,25.2,25.4,26,65.4,70.8,64,75,57,37.2,41.2,113.8,99,72.2,89.4,94.6,83.5,42,201,11.4,21,20,27,31/07/2018
Delhi,34,23,25,75,83,83,87,73,39,42,164,121,95,102,109,90,55,235,18,29,29,52,31/07/2018
Goa,42,31,27,75,70,90,95,67,41,50,159,148,115,106,115,87,55,240,17,35,22,27,31/07/2018
Gujarat,23.5,21.25,22.75,59,66.5,54.5,65.25,54,36,51,98.5,86.25,73.75,83.75,84.75,75.5,44.25,208.75,14.75,19.5,17.75,28.75,31/07/2018
Haryana,31.75,19.5,23.75,59.5,76.25,70.5,70,57.5,36.75,44.25,151.5,99.75,89.5,98.25,102,81.5,40,210,18.5,21.75,23,37.5,31/07/2018
Himachal Pradesh,28.67,0,24,60,71.33,66,71.67,58.33,40.33,35.67,139,122.67,88.67,91.67,100,80,38,190,18,25.67,25.67,35,31/07/2018
Jammu and Kashmir,30.5,21,23,62.5,72.5,73,66,61,46.5,41.5,0,121,96.5,117.5,125.5,110,44.5,260,18.5,20,25,22.5,31/07/2018
Jharkhand,35,26,26,65,70,60,75,60,40,42,145,108,75,107,107,82,40,280,18,18,24,40,31/07/2018
Karnataka,44.5,31.25,35,73.5,72.75,80,77.5,72.25,38,36,136.75,127.75,79.5,84,87.75,75,50.75,244.25,11,25.25,23.25,14.75,31/07/2018
Kerala,36.83,33.17,36.5,71.33,73.17,77.33,77,63.83,39.5,43,128,145.8,94.17,93,93.33,75.33,52.67,178.83,10.67,32.33,24.5,24.5,31/07/2018
Madhya Pradesh,25.8,19.4,22.2,58.4,64.6,58.2,64.8,54.4,37.2,45.4,117.8,90.4,69.6,84.2,87.6,68.5,40.4,222,15,20.8,17,32.4,31/07/2018
Maharashtra,35.75,27.25,30,65.75,65.25,71.75,77.75,58,37.75,39.75,119.5,126.75,82.75,84.5,94.25,75.75,44.25,236.5,16.5,25.5,21.25,30.25,31/07/2018
Manipur,40,0,35,80,90,90,120,80,50,0,0,109,87,120,0,98,60,240,15,30,40,60,31/07/2018
Meghalaya,24,29,27,71,62,70,75,64,43.5,62,95,99,68.5,100,117.5,86.5,58,265,16,22.5,27.5,45,31/07/2018
Mizoram,30,0,25,0,80,0,140,100,55,70,0,109,0,93,98,0,0,360,22,35,40,70,31/07/2018
Odisha,27.33,0,26,63.33,64.33,56.33,68.67,53,39.67,34,0,104.67,74.67,97,99,85.33,42.67,193.33,17.67,15.67,22,25,31/07/2018
Puducherry,32,35,28,65,75,80,80,60,39,36,124,132,103,0,97,81,50,250,18,28,20,12,31/07/2018
Punjab,29.33,19.33,21.33,63.33,73,66.33,70,66.67,35.33,44.67,132.67,97.33,82.33,88,108,0,37.67,205,18,15.67,22.67,24.67,31/07/2018
Rajasthan,26.67,20.67,23,54.67,63.33,57,64.67,55,37.33,39.67,114.67,97.33,73,88,93,0,34.33,210,14.67,15,13,32.33,31/07/2018
Sikkim,57,25,29,65,84,90,83,70,43,47,0,123,80,107,115,0,53,300,18,31,32,45,31/07/2018
Tamil Nadu,34.4,31,31.5,64,71.8,76.2,76,62.33,38.6,36.4,136.6,123.67,95.4,0,100.4,83.4,50.6,220,17,26.4,22.4,16.8,31/07/2018
Telangana,28.33,27.67,29.33,75,70.67,76.5,73.33,69.5,38.67,39.83,105.67,95.5,72.33,82.67,89.33,69,38.33,186.33,13.17,20.5,15.67,29.83,31/07/2018
Tripura,31,0,29,58,0,73,81,67,46,40,0,107,70,99,0,0,53,178,19,25,29,39,31/07/2018
Uttar Pradesh,25.63,19.13,22.5,60.63,68.13,59.38,70.38,56.25,39.13,48,128.71,102.75,79.63,90.88,108,81.5,38,195,17.75,20.63,22,36.13,31/07/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,24,30,30,31/07/2018
West Bengal,30.57,18.33,24.86,68.71,74.29,76.86,78.57,68.29,40.57,39.86,127.67,97.29,81.29,84.14,93.71,72.86,41.43,187.14,11.71,17.57,24.29,32.86,31/07/2018
Average Price,30.85,24.7,27.02,64.94,70.46,69.84,74.18,61.76,39.27,43,124.59,108.2,81.42,90.64,98.08,78.43,43.55,213.28,15.22,22.32,22.4,30.46,1/8/2018
Maximum Price,57,46,51,96,90,100,140,100,55,70,164,165,115,120,130,110,66,360,22,43,40,70,1/8/2018
Minimum Price,22,14,20,50,57,48,55,45,33,30,89,84,63,71,81,62,28,120,8,12,10,11,1/8/2018
Modal Price,30,20,22,75,70,70,70,60,40,41,140,97.5,70,85,101,81,40,200,18,20,20,30,1/8/2018
Andaman and Nicobar,33,35,51,71,74,82,80,67,49,57,0,0,0,0,0,0,64,208,12,35,30,50,1/8/2018
Andhra Pradesh,31.25,28.25,30.25,67.25,65.25,74,74.25,60.33,40.75,42,104.75,114,70,87,88.75,72.5,45,199.25,13.5,20.25,16.75,19,1/8/2018
Arunachal pradesh,28,25,30,90,90,100,90,75,45,60,0,131,98,98,98,0,60,360,15,20,20,25,1/8/2018
Assam,30,26,30,62,70,65,75,60,40,56,0,90,75,90,100,0,45,200,12,22,28,40,1/8/2018
Bihar,33.67,19.4,24.83,55.4,68.67,71,72,52.8,39.83,39.67,0,101.8,83.33,95.6,110.5,79.5,37.8,234.8,14.2,19,21.17,38.83,1/8/2018
Chandigarh,28,23,25,55,64,57,73,50,36,44,128,100,76,87,88,0,33,220,16,20,24,26,1/8/2018
Chhattisgarh,25.2,25.4,26,65.4,70.8,64,75,57,37.2,41.2,113.8,99,72.2,89.4,94.6,83.5,42,201,11.4,22,21,27,1/8/2018
Delhi,34,23,25,75,83,83,87,73,39,42,164,121,95,102,109,90,55,235,18,29,29,52,1/8/2018
Goa,42,31,27,75,70,90,95,67,41,50,159,148,115,106,115,87,55,240,17,35,22,27,1/8/2018
Gujarat,23.5,21.25,22.75,59,66.5,54.5,65.25,54,36,51,98.5,86.25,73.75,83.75,84.75,75.5,44.25,208.75,14.75,19.5,17.75,28.75,1/8/2018
Haryana,31.75,19.5,23.75,59.5,76.25,70.5,70,57.5,36.75,44.25,151.5,99.75,89.5,98.25,102,81.5,40,210,18.5,21.75,23,37.5,1/8/2018
Himachal Pradesh,30.5,0,23.75,58.75,70.75,64,70.5,57.5,40.25,36.5,139,126.25,90,92.75,100,87,39.75,183.33,18.25,24.25,25.5,33.75,1/8/2018
Jammu and Kashmir,30.5,21,23,62.5,72.5,73,66,61,46.5,41.5,0,121,96.5,117.5,125.5,110,44.5,260,18.5,20,25,22.5,1/8/2018
Jharkhand,35,26,26,65,70,60,75,60,40,42,145,108,75,107,107,82,40,280,18,18,24,40,1/8/2018
Karnataka,44.5,31.25,35,73.5,72.75,80,77.5,72.25,38,36,136.75,127.75,79.5,84,87.75,75,50.75,244.25,11,25.25,23.25,14.75,1/8/2018
Kerala,36.83,33.17,36.5,71.33,73.67,77.33,77,63.83,39.33,43,128,145.8,94.17,93,93.33,75.33,52.67,178.83,10.67,32.67,24.5,24.5,1/8/2018
Madhya Pradesh,26.5,19.75,22.5,54.25,64.5,55.25,66,53,36,46.75,114.5,91.25,68.5,85.25,85,68.5,39.25,227.5,15,21,16.25,33,1/8/2018
Maharashtra,35.75,27.25,30,66.5,65.25,71.75,77.75,58.25,37.75,39.75,120.25,126.75,83.25,85,94.25,76,44.25,236.5,16.5,25,21,28.75,1/8/2018
Meghalaya,36,31,27,72.5,62,75,75,65,43.5,63,95,99,68.5,100,120,86.5,63,267,16,22.5,27.5,45,1/8/2018
Mizoram,30,0,25,0,80,0,140,100,55,70,0,109,0,93,98,0,0,360,22,35,40,70,1/8/2018
Nagaland,25,45,35,75,75,60,80,65,42,60,0,0,0,0,0,0,50,200,15,30,40,40,1/8/2018
Odisha,27.75,0,25.75,63,63.75,56.25,68,53,39.75,34,0,104,75,97,98.25,85.75,41.75,190,18.25,16.5,21,30,1/8/2018
Puducherry,32,35,28,65,75,80,80,60,39,36,124,132,103,0,97,81,50,250,18,30,20,14,1/8/2018
Punjab,29.33,19.33,21.33,63.33,73,66.33,70,66.67,35.33,44.67,132.67,97.33,82.33,88,108,0,37.67,205,18,15.67,22.67,24.67,1/8/2018
Rajasthan,26.67,20.67,23,54.67,63.33,57.33,64,55.33,37.33,39.67,114.67,97.33,73,88,93,0,34.33,210,14.67,15,13.67,30.67,1/8/2018
Sikkim,57,25,31,65,84,90,83,70,43,47,0,123,80,107,115,0,53,300,18,30,30,40,1/8/2018
Tamil Nadu,34.4,30.6,31.75,65,71.4,76,75.6,61.33,38.8,36.4,136.6,124,95.4,0,100.4,83.4,50.8,220,17,26.4,23.4,16.4,1/8/2018
Telangana,28.33,27.67,29.33,75,70.67,76.5,73.33,69.5,38.67,39.83,105.67,95.5,72.33,82.67,89.33,69,38.33,186.33,13.17,20.5,15.67,29.83,1/8/2018
Tripura,31,0,29,58,0,73,81,67,46,40,0,107,70,99,0,0,53,178,19,25,29,39,1/8/2018
Uttar Pradesh,25.63,19.13,22.5,60.63,68.13,59.38,70.13,56.25,39.13,48,128.71,103,79.63,90.88,108,80,38,195,17.75,20,21.75,36.13,1/8/2018
Uttarakhand,23.5,21.5,24.25,67.25,72.75,77.75,73,73.75,37,42.5,134.75,93.5,83.75,83.75,105.75,0,37.25,207.5,18,24,30,30,1/8/2018
West Bengal,30.57,18.33,24.86,68.71,74.29,76.86,78.57,68.29,40.57,39.86,127.67,97.29,81.29,84.14,93.86,72.86,41.43,187.14,11.71,17.57,24.29,32.14,1/8/2018
Average Price,30.23,24.63,26.65,64.9,70.24,69.49,73.3,60.66,39.11,43.21,124.24,106.86,80.91,90.89,98.67,78.77,43.38,210.84,15.49,22.3,22.24,30.55,2/8/2018
Maximum Price,57,46,51,90,90,100,95,77,50,64,164,165,115,120,130,110,66,360,21,43,40,55,2/8/2018
Minimum Price,22,14,20,50,57,48,55,45,33,30,89,84,63,73,82,62,28,135,8,12,12,12,2/8/2018
Modal Price,29,20,23.5,75,70,70,72.5,60,40,42,115,100,76,85,102,76,40,200,18,20,20,35,2/8/2018
Andaman and Nicobar,33,35,51,71,74,82,80,67,49,57,0,0,0,0,0,0,64,208,12,35,30,50,2/8/2018
Andhra Pradesh,31.25,28.5,30,67.5,65.5,74,74.5,60,40.5,42,105,114.25,69.75,87,89,72,45.25,199.75,13.5,20.5,16.75,18.75,2/8/2018
Arunachal pradesh,28,25,30,90,90,100,90,75,45,60,0,131,98,98,98,0,60,360,15,20,20,25,2/8/2018
Assam,30,26,30,62,70,65,75,60,40,56,0,90,75,90,100,0,45,200,12,22,28,40,2/8/2018
Bihar,34.4,20.25,25,55.75,69.8,70.67,71.5,53,39.4,40.2,0,102.75,82,96,107.33,82,38.75,235.67,15.25,19.2,21,38.6,2/8/2018
Chandigarh,28,23,25,55,64,57,73,50,36,44,128,100,76,87,88,0,33,220,16,20,24,26,2/8/2018
Chhattisgarh,25.2,25.4,26,65.4,70.8,64,75,57,38,41.2,113.8,99,72.2,89.4,94.6,83.5,42,201,11.4,22,21,27,2/8/2018
Delhi,34,23,25,75,83,83,87,73,39,42,164,121,95,102,109,90,55,236,18,29,29,51,2/8/2018
Goa,42,31,27,75,70,90,95,67,41,50,159,148,115,106,115,87,55,240,17,35,22,27,2/8/2018
Gujarat,23.5,21.25,22.75,59,66.5,54.5,65.25,54,36,51,98.5,86.25,73.75,83.75,84.75,75.5,44.25,208.75,14.75,19.5,17.75,28.75,2/8/2018
Haryana,31.75,19.5,23.75,59.5,76.25,70.5,70,57.5,36.75,44.25,151.5,99.75,89.5,98.25,102,81.5,40,210,18.5,21.75,23,37.5,2/8/2018
